"","country","dad","mom","daughter","son"
"1","Afghanistan",3.57013011,1.354020953,4.332961559,5.844685555
"2","Albania",9.784733772,9.666121483,12.96208477,12.00504208
"3","Angola",7.213785648,3.867464304,8.241621971,9.783507347
"4","Armenia",11.67123318,11.47211838,11.27502537,11.28338242
"5","Australia",12.45739174,12.20551586,13.70409107,13.43615532
"6","Austria",12.23570442,11.65865803,14.03494167,14.29550266
"7","Azerbaijan",11.12467766,10.1941824,10.80144691,11.25602913
"8","Bangladesh",3.979171991,3.350675106,8.886235237,7.252628326
"9","Belarus",11.49989033,11.70663834,13.7465086,13.46624756
"10","Belgium",11.37674904,10.90810966,14.60586071,14.4350605
"11","Benin",2.031171322,NA,NA,5.488920689
"12","Bhutan",0.769590974,0.073070794,2.019599915,2.725195169
"13","Bolivia",7.754859924,5.927717209,10.91476345,11.62740803
"14","Bosnia and Herzegovina",10.00001812,8.761948586,12.2437458,11.72645855
"15","Botswana",4.533067703,4.939519405,10.82686138,9.763353348
"16","Brazil",3.633101702,4.204856873,10.58273029,9.362397194
"17","Bulgaria",11.16555882,10.58468628,12.35942364,12.37366867
"18","Burkina Faso",0.774366319,1.094892025,3.976736546,2.158204794
"19","Cabo Verde",4.119381428,3.801734924,9.400424957,8.648139
"20","Cambodia",4.885419369,3.023386002,7.785878658,8.887018204
