country,year,dad,mom,daughter,son,continent
Afghanistan,1980,3.57013011,1.354020953,4.332961559,5.844685555,Asia
Albania,1940,5.046562195,3.975332022,7.473460197,8.332602501,Europe
Albania,1950,7.306269169,5.890841961,10.43323898,11.38680935,Europe
Albania,1960,8.007301331,6.990821838,10.42007446,11.06703281,Europe
Albania,1970,7.980126381,8.45618248,11.09630394,11.32250023,Europe
Albania,1980,9.784733772,9.666121483,12.96208477,12.00504208,Europe
Angola,1980,7.213785648,3.867464304,8.241621971,9.783507347,Africa
Armenia,1940,8.054162979,8.193253517,10.82289886,10.88946629,Europe
Armenia,1950,9.501730919,8.965654373,10.53980827,10.89555073,Europe
Armenia,1960,9.563797951,9.85832119,10.75143528,10.72208691,Europe
Armenia,1970,11.02619076,10.86184883,10.53214073,10.47999191,Europe
Armenia,1980,11.67123318,11.47211838,11.27502537,11.28338242,Europe
Australia,1940,9.4336586,8.776248932,11.46438503,12.19471264,Oceania
Australia,1950,10.10134983,9.245967865,12.40078735,12.8539753,Oceania
Australia,1960,10.96161938,10.02821732,12.96141529,12.9389286,Oceania
Australia,1970,11.72704792,11.46012783,13.59082508,13.56155682,Oceania
Australia,1980,12.45739174,12.20551586,13.70409107,13.43615532,Oceania
Austria,1940,11.18741703,7.956791878,10.69548607,12.87928486,Europe
Austria,1950,10.58606625,8.481179237,12.02062798,12.90516663,Europe
Austria,1960,10.82410908,9.309306145,12.43964958,13.56076717,Europe
Austria,1970,11.53214264,10.17258167,13.36141109,13.37737274,Europe
Austria,1980,12.23570442,11.65865803,14.03494167,14.29550266,Europe
Azerbaijan,1950,9.176474571,8.331694603,11.00309658,11.31297016,Asia
Azerbaijan,1960,9.887845993,8.898541451,10.55422783,10.65762997,Asia
Azerbaijan,1970,10.64304066,9.48608017,10.21186924,10.60829163,Asia
Azerbaijan,1980,11.12467766,10.1941824,10.80144691,11.25602913,Asia
Bangladesh,1980,3.979171991,3.350675106,8.886235237,7.252628326,Asia
Belarus,1940,8.807883263,7.67579031,10.89960861,11.09354782,Europe
Belarus,1950,9.52454567,8.698514938,11.63618469,11.62434959,Europe
Belarus,1960,10.23526192,9.324971199,11.86887646,11.90406132,Europe
Belarus,1970,10.96044731,11.06056213,12.34008598,12.17263126,Europe
Belarus,1980,11.49989033,11.70663834,13.7465086,13.46624756,Europe
Belgium,1940,6.970882893,6.277550697,11.04871559,11.45532227,Europe
Belgium,1950,7.945011139,7.474503517,12.12691402,12.23646355,Europe
Belgium,1960,9.310947418,8.656661987,13.35038185,13.4539566,Europe
Belgium,1970,10.21496773,9.60573101,14.33833694,14.19392204,Europe
Belgium,1980,11.37674904,10.90810966,14.60586071,14.4350605,Europe
Benin,1940,0.510579467,NA,NA,2.042862892,Africa
Benin,1950,0.680141866,NA,NA,2.883745909,Africa
Benin,1960,0.971909285,NA,NA,3.987011909,Africa
Benin,1970,1.206042171,NA,NA,3.949240923,Africa
Benin,1980,2.031171322,NA,NA,5.488920689,Africa
Bhutan,1940,0.304967463,0.029437561,0.084265508,0.854855061,Asia
Bhutan,1950,0.369678497,0.054310214,0.183612734,1.990481138,Asia
Bhutan,1960,0.465144843,0.074930973,0.937111437,3.155300856,Asia
Bhutan,1970,0.739199877,0.117685325,1.672135949,3.949123144,Asia
Bhutan,1980,0.769590974,0.073070794,2.019599915,2.725195169,Asia
Bolivia,1940,3.386713743,1.750113606,3.890075445,6.142498016,Americas
Bolivia,1950,3.7908957,2.744811773,5.819886684,7.653446674,Americas
Bolivia,1960,4.78899765,3.076246738,7.262863159,9.073571205,Americas
Bolivia,1970,6.052769661,4.547389507,9.105899811,10.39588451,Americas
Bolivia,1980,7.754859924,5.927717209,10.91476345,11.62740803,Americas
Bosnia and Herzegovina,1940,3.994019032,2.2102108,6.010520458,7.783083439,Europe
Bosnia and Herzegovina,1950,5.634396076,3.639844894,7.331927776,9.828435898,Europe
Bosnia and Herzegovina,1960,6.533459663,4.800957203,9.393923759,10.26896858,Europe
Bosnia and Herzegovina,1970,8.374693871,7.983870983,10.68117905,10.80397224,Europe
Bosnia and Herzegovina,1980,10.00001812,8.761948586,12.2437458,11.72645855,Europe
Botswana,1980,4.533067703,4.939519405,10.82686138,9.763353348,Africa
Brazil,1940,1.681071043,1.491290927,5.374973297,5.05618763,Americas
Brazil,1950,2.080343962,1.93399179,7.006638527,6.488901138,Americas
Brazil,1960,2.486016989,2.465509415,8.444162369,7.745663643,Americas
Brazil,1970,3.143215179,3.31368351,9.615281105,8.634846687,Americas
Brazil,1980,3.633101702,4.204856873,10.58273029,9.362397194,Americas
Bulgaria,1940,6.531758785,5.823876381,9.943840981,10.64854527,Europe
Bulgaria,1950,7.992930889,7.862950325,11.93177319,11.54761124,Europe
Bulgaria,1960,8.785104752,9.151126862,12.45456028,11.74971485,Europe
Bulgaria,1970,9.935809135,9.768968582,12.02536774,12.04024696,Europe
Bulgaria,1980,11.16555882,10.58468628,12.35942364,12.37366867,Europe
Burkina Faso,1980,0.774366319,1.094892025,3.976736546,2.158204794,Africa
Cabo Verde,1980,4.119381428,3.801734924,9.400424957,8.648139,Africa
Cambodia,1980,4.885419369,3.023386002,7.785878658,8.887018204,Asia
Cameroon,1980,4.938210964,4.594793797,8.109668732,6.867472649,Africa
Canada,1940,9.646140099,9.318644524,13.23916149,13.7801075,Americas
Canada,1950,10.29238796,9.986448288,13.92844963,14.0360117,Americas
Canada,1960,11.23145771,10.7541914,14.30508137,14.16162777,Americas
Canada,1970,12.63725948,12.14735794,14.81927395,14.45451927,Americas
